Time,Event,Object,Involved,P1,P2,P3,P4
7442.013672,Trigger: OnProcessFinish,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,,,,
7442.013672,TaskSequence: Finish TS,/Translation Operator 3,/Translation Operator 3>variables/activetasksequence/ts116,,,,
7442.013672,Trigger: OnResourceAvailable,/Translation Operator 3,<no path>,port: 0.000000,resource: <no path>,nextts: <no path>,lastts: <no path>
7442.013672,Trigger: Send To Port,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,,,,
7442.013672,Trigger: Request Transport From,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,port: 1.000000,,,
7442.013672,TaskSequence: Receive TS,/Translation Operator 3,/Translation Operator 3>variables/tasksequencequeue/ts151,,,,
7442.013672,TaskSequence: Begin TS,/Translation Operator 3,/Translation Operator 3>variables/activetasksequence/ts151,,,,
7442.013672,BeginTask: Travel,/Translation Operator 3,/Line 1 Workstation 3,end speed: 0.000000,forcetravel: 0.000000,,
7442.013672,BeginTask: Load,/Translation Operator 3,/Line 1 Workstation 3/Product,involved2: /Line 1 Workstation 3,output port: 1.000000,end speed: 0.000000,
7442.013672,Trigger: Load Time,/Translation Operator 3,/Line 1 Workstation 3/Product,station: /Line 1 Workstation 3,,,
7445.695801,Engine: Send Object,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,1.000000,,,
7445.695801,Trigger: OnExit,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,port: 1.000000,,,
7445.695801,Engine: Receive Object,/Translation Operator 3,/Translation Operator 3/Product,1.000000,,,
7445.695801,Trigger: OnLoad,/Translation Operator 3,/Translation Operator 3/Product,station: /Line 1 Workstation 3,,,
7445.695801,BeginTask: Break,/Translation Operator 3,<no path>,involved2: <no path>,check content: 0.000000,check receive: 0.000000,msgparam(3): 0.000000
7445.695801,BeginTask: Travel,/Translation Operator 3,/Line 1 Finished Goods Buffer Area 3,end speed: 0.000000,forcetravel: 0.000000,,
7445.695801,Trigger: Pull From Port,/Line 1 Workstation 3,<no path>,,,,
7445.695801,Trigger: Pull Requirement,/Line 1 Workstation 3,/Line 1 WIP Buffer Area 3/Product,port: 1.000000,,,
7445.695801,Trigger: Request Transport From,/Line 1 WIP Buffer Area 3,/Line 1 WIP Buffer Area 3/Product,port: 1.000000,,,
7445.695801,TaskSequence: Receive TS,/Translation Operator 3,/Translation Operator 3>variables/tasksequencequeue/ts152,,,,
7445.695801,Trigger: PassTo,/Translation Operator 3,/Translation Operator 3>variables/tasksequencequeue/ts152,,,,
7450.467285,BeginTask: Unload,/Translation Operator 3,/Translation Operator 3/Product,involved2: /Line 1 Finished Goods Buffer Area 3,input port: 1.000000,end speed: 0.000000,
7450.467285,Trigger: Unload Time,/Translation Operator 3,/Translation Operator 3/Product,station: /Line 1 Finished Goods Buffer Area 3,,,
7451.292480,Trigger: OnUnload,/Translation Operator 3,/Translation Operator 3/Product,station: /Line 1 Finished Goods Buffer Area 3,,,
7451.292480,Engine: Send Object,/Translation Operator 3,/Translation Operator 3/Product,,,,
7451.292480,Engine: Receive Object,/Line 1 Finished Goods Buffer Area 3,/Line 1 Finished Goods Buffer Area 3/Product~2,,,,
7451.292480,Trigger: OnEntry,/Line 1 Finished Goods Buffer Area 3,/Line 1 Finished Goods Buffer Area 3/Product~2,port: 1.000000,,,
7451.292480,Trigger: OnEndCollecting,/Line 1 Finished Goods Buffer Area 3,/Line 1 Finished Goods Buffer Area 3/Product~2,batchsize: 1.000000,,,
7451.292480,Trigger: Send To Port,/Line 1 Finished Goods Buffer Area 3,/Line 1 Finished Goods Buffer Area 3/Product~2,,,,
7451.292480,TaskSequence: Finish TS,/Translation Operator 3,/Translation Operator 3>variables/activetasksequence/ts151,,,,
7451.292480,Trigger: QueueStrategy,/Translation Operator 3,/Translation Operator 3>variables/tasksequencequeue/ts152,,,,
7451.292480,Trigger: OnResourceAvailable,/Translation Operator 3,<no path>,port: 0.000000,resource: <no path>,nextts: <no path>,lastts: <no path>
7451.292480,TaskSequence: Begin TS,/Translation Operator 3,/Translation Operator 3>variables/activetasksequence/ts152,,,,
7451.292480,BeginTask: Travel,/Translation Operator 3,/Line 1 WIP Buffer Area 3,end speed: 0.000000,forcetravel: 0.000000,,
7461.747559,BeginTask: Load,/Translation Operator 3,/Line 1 WIP Buffer Area 3/Product,involved2: /Line 1 WIP Buffer Area 3,output port: 1.000000,end speed: 0.000000,
7461.747559,Trigger: Load Time,/Translation Operator 3,/Line 1 WIP Buffer Area 3/Product,station: /Line 1 WIP Buffer Area 3,,,
7461.927246,Engine: Send Object,/Line 1 WIP Buffer Area 3,/Line 1 WIP Buffer Area 3/Product,1.000000,,,
7461.927246,Trigger: OnExit,/Line 1 WIP Buffer Area 3,/Line 1 WIP Buffer Area 3/Product,port: 1.000000,,,
7461.927246,Engine: Receive Object,/Translation Operator 3,/Translation Operator 3/Product,1.000000,,,
7461.927246,Trigger: OnLoad,/Translation Operator 3,/Translation Operator 3/Product,station: /Line 1 WIP Buffer Area 3,,,
7461.927246,BeginTask: Break,/Translation Operator 3,<no path>,involved2: <no path>,check content: 0.000000,check receive: 0.000000,msgparam(3): 0.000000
7461.927246,BeginTask: Travel,/Translation Operator 3,/Line 1 Workstation 3,end speed: 0.000000,forcetravel: 0.000000,,
7461.927246,Trigger: Pull From Port,/Line 1 WIP Buffer Area 3,<no path>,,,,
