Flexsim Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object,Class,stats_contentmin,stats_contentmax,stats_contentavg,stats_input,stats_staytimeavg,idle,waiting for operator,travel empty,travel loaded,loading,unloading,utilize,empty,blocked,processing,offset travel empty,offset travel loaded,stats_content,stats_output,stats_staytimemin,stats_staytimemax,state_current,generating,collecting,releasing,waiting for transporter,breakdown,scheduled down,down,conveying,setup
Material Supermarket _Loading Point_,Queue,2694,3982,3335.427386,0,218751.5169,0,0,0,0,0,0,0,0,0,0,0,0,2694,1288,7262.683133,428478.8129,8,0,0,424800,0,0,0,0,0,0
Line 2 Workstation 1,Processor,0,1,0.993518,129,3275.541423,2753.391535,0,0,0,0,0,0,0,0,421571.647,0,0,1,129,871.134117,6057.00625,2,0,0,0,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 1,Queue,2,131,66.567221,129,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 1,Queue,2,128,65.52122,126,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 2,Queue,4,6,5.391557,129,17564.75009,0,0,0,0,0,0,0,0,0,0,0,0,4,130,9773.563965,22380.32016,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 3,Queue,3,6,5.356471,132,17017.21121,0,0,0,0,0,0,0,0,0,0,0,0,6,131,9557.60036,24398.56776,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 4,Queue,3,6,5.351251,133,17014.60716,0,0,0,0,0,0,0,0,0,0,0,0,5,133,9821.125812,23832.59554,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 5,Queue,3,6,5.374704,128,17564.85771,0,0,0,0,0,0,0,0,0,0,0,0,4,130,8087.96567,25321.56049,8,0,0,424800,0,0,0,0,0,0
Line 1 Workstation 2,Processor,0,1,0.993856,130,3253.263506,2609.957622,0,0,0,0,0,0,0,0,421711.3566,0,0,1,130,1264.800237,6491.31489,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 3,Processor,0,1,0.99381,131,3194.511227,2629.461563,0,0,0,0,0,0,0,0,421688.1708,0,0,1,131,278.267418,6376.740842,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 4,Processor,0,1,0.993719,133,3173.738362,2668.269431,0,0,0,0,0,0,0,0,421641.9978,0,0,1,133,980.324724,5739.85279,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 5,Processor,0,1,0.993855,130,3268.626206,2610.590928,0,0,0,0,0,0,0,0,421710.7236,0,0,1,130,551.032248,5757.845838,2,0,0,0,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 2,Queue,2,132,66.340522,130,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 3,Queue,2,133,67.309636,131,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 4,Queue,2,135,68.088715,133,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 5,Queue,1,131,64.79,130,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 1,Queue,3,6,5.406921,129,17696.61796,0,0,0,0,0,0,0,0,0,0,0,0,5,129,10563.83751,24211.96276,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 2,Queue,4,6,5.417522,127,17954.42897,0,0,0,0,0,0,0,0,0,0,0,0,5,127,9883.820704,25384.31271,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 3,Queue,4,6,5.452813,120,18998.36603,0,0,0,0,0,0,0,0,0,0,0,0,4,121,9521.789549,25328.76898,8,0,0,424800,0,0,0,0,0,0
