Flexsim Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object,Class,stats_contentmin,stats_contentmax,stats_contentavg,stats_input,stats_staytimeavg,idle,waiting for operator,travel empty,travel loaded,loading,unloading,utilize,empty,blocked,processing,offset travel empty,offset travel loaded,stats_content,stats_output,stats_staytimemin,stats_staytimemax,state_current,generating,collecting,releasing,waiting for transporter,breakdown,scheduled down,down,conveying,setup
Material Supermarket _Loading Point_,Queue,2037,3978,3006.098185,0,219293.204,0,0,0,0,0,0,0,0,0,0,0,0,2037,1941,7291.918362,429177.3505,8,0,0,424800,0,0,0,0,0,0
Line 2 Workstation 1,Processor,0,1,0.990392,191,2200.611907,4081.535022,0,0,0,0,0,0,0,0,420015.2275,0,0,1,191,289.176328,4208.729974,2,0,0,0,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 1,Queue,3,194,98.360797,191,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 1,Queue,3,196,98.085447,193,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 2,Queue,0,3,1.966066,194,4305.298798,0,0,0,0,0,0,0,11852.55366,0,0,0,0,1,194,321.345575,8993.35993,8,0,0,412666.6864,0,0,0,0,0,0
Line 1 WIP Buffer Area 3,Queue,0,3,1.895004,199,4035.573837,0,0,0,0,0,0,0,14319.85803,0,0,0,0,0,201,74.739613,7692.111462,6,0,0,410123.6747,0,0,0,0,0,0
Line 1 WIP Buffer Area 4,Queue,0,3,1.917748,199,4095.023598,0,0,0,0,0,0,0,13930.97985,0,0,0,0,1,199,10.350014,8659.342393,8,0,0,410497.2971,0,0,0,0,0,0
Line 1 WIP Buffer Area 5,Queue,0,3,1.840544,196,3976.606559,0,0,0,0,0,0,0,21544.34545,0,0,0,0,0,198,10.329915,7990.602523,6,0,0,402834.2744,0,0,0,0,0,0
Line 1 Workstation 2,Processor,0,1,0.99084,194,2164.859111,3891.234206,0,0,0,0,0,0,0,0,420194.4193,0,0,1,194,613.158174,4328.770663,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 3,Processor,0,1,0.990501,201,2105.500989,4035.096938,0,0,0,0,0,0,0,0,420024.7817,0,0,1,201,186.739011,4252.38796,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 4,Processor,0,1,0.990373,199,2109.521161,4089.726448,0,0,0,0,0,0,0,0,419977.5156,0,0,1,199,63.68219,3827.795931,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 5,Processor,0,1,0.984023,198,2120.087553,6786.879803,0,0,0,0,0,0,0,0,417284.0455,0,0,1,198,368.582228,3754.158738,2,0,0,0,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 2,Queue,3,197,99.251849,194,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 3,Queue,2,203,101.962247,201,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 4,Queue,3,202,101.808438,199,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 5,Queue,2,200,99.113307,198,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 1,Queue,0,3,2.028811,190,4529.082191,0,0,0,0,0,0,0,6206.441317,0,0,0,0,0,191,379.602329,9508.892863,6,0,0,418430.2667,0,0,0,0,0,0
Line 2 WIP Buffer Area 2,Queue,0,3,1.924201,195,4186.407483,0,0,0,0,0,0,0,19660.80947,0,0,0,0,1,196,10.837459,9023.821495,8,0,0,404711.703,0,0,0,0,0,0
Line 2 WIP Buffer Area 3,Queue,0,3,1.975457,185,4536.243829,0,0,0,0,0,0,0,8697.378209,0,0,0,0,1,185,11.082682,9289.720696,8,0,0,415811.3879,0,0,0,0,0,0
Line 2 WIP Buffer Area 4,Queue,0,3,1.890551,196,4091.950029,0,0,0,0,0,0,0,17163.55869,0,0,0,0,1,197,11.059913,7499.599767,8,0,0,407217.8305,0,0,0,0,0,0
Line 2 WIP Buffer Area 5,Queue,0,3,1.78643,195,3879.148639,0,0,0,0,0,0,0,20021.10451,0,0,0,0,0,197,10.828736,8815.809476,6,0,0,404369.1977,0,0,0,0,0,0
Line 2 Workstation 2,Processor,0,1,0.984903,196,2136.807279,6413.199428,0,0,0,0,0,0,0,0,417665.1549,0,0,1,196,355.853289,4104.23487,2,0,0,0,0,0,0,0,0,0
