序号,对象名称,图层,类别,中心X(m),中心Y(m),宽(m),高(m),旋转(度),尺寸来源
1,Central Warehouse,A-WAREHOUSE,source,-10.000000,4.000000,4.00,4.00,0.00,假定
2,Material Supermarket Loading Point,A-LOADING,queue,-5.000000,5.000000,6.00,6.00,0.00,实测
3,L1-WIP-1,A-WIP-L1,wip,49.000000,31.000000,2.00,2.00,0.00,假定
4,L1-WIP-2,A-WIP-L1,wip,59.000000,31.000000,2.00,2.00,0.00,假定
5,L1-WIP-3,A-WIP-L1,wip,69.000000,31.000000,2.00,2.00,0.00,假定
6,L1-WIP-4,A-WIP-L1,wip,79.000000,31.000000,2.00,2.00,0.00,假定
7,L1-WIP-5,A-WIP-L1,wip,89.000000,31.000000,2.00,2.00,0.00,假定
8,L1-WS-1,A-WS-L1,processor,48.000000,41.285022,3.00,3.00,90.00,假定
9,L1-WS-2,A-WS-L1,processor,58.000000,41.629422,3.00,3.00,90.00,假定
10,L1-WS-3,A-WS-L1,processor,68.000000,41.567539,3.00,3.00,90.00,假定
11,L1-WS-4,A-WS-L1,processor,78.000000,41.691827,3.00,3.00,90.00,假定
12,L1-WS-5,A-WS-L1,processor,88.000000,41.566915,3.00,3.00,90.00,假定
13,L1-FG-1,A-FG-L1,fg,49.000000,51.000000,2.00,2.00,0.00,假定
14,L1-FG-2,A-FG-L1,fg,59.000000,51.000000,2.00,2.00,0.00,假定
15,L1-FG-3,A-FG-L1,fg,69.000000,51.000000,2.00,2.00,0.00,假定
16,L1-FG-4,A-FG-L1,fg,79.000000,51.000000,2.00,2.00,0.00,假定
17,L1-FG-5,A-FG-L1,fg,89.000000,51.000000,2.00,2.00,0.00,假定
18,L2-WIP-1,A-WIP-L2,wip,49.000000,-29.000000,2.00,2.00,0.00,假定
19,L2-WIP-2,A-WIP-L2,wip,59.000000,-29.000000,2.00,2.00,0.00,假定
20,L2-WIP-3,A-WIP-L2,wip,69.000000,-29.000000,2.00,2.00,0.00,假定
21,L2-WIP-4,A-WIP-L2,wip,79.000000,-29.000000,2.00,2.00,0.00,假定
22,L2-WIP-5,A-WIP-L2,wip,89.000000,-29.000000,2.00,2.00,0.00,假定
23,L2-WS-1,A-WS-L2,processor,48.000000,-38.495615,3.00,3.00,-90.00,假定
24,L2-WS-2,A-WS-L2,processor,58.000000,-38.439327,3.00,3.00,-90.00,假定
25,L2-WS-3,A-WS-L2,processor,68.000000,-38.456132,3.00,3.00,-90.00,假定
26,L2-WS-4,A-WS-L2,processor,78.000000,-38.315352,3.00,3.00,-90.00,假定
27,L2-WS-5,A-WS-L2,processor,87.524652,-38.272213,3.00,3.00,-90.00,假定
28,L2-FG-1,A-FG-L2,fg,49.000000,-49.000000,2.00,2.00,0.00,假定
29,L2-FG-2,A-FG-L2,fg,59.000000,-49.000000,2.00,2.00,0.00,假定
30,L2-FG-3,A-FG-L2,fg,69.000000,-49.000000,2.00,2.00,0.00,假定
31,L2-FG-4,A-FG-L2,fg,79.000000,-49.000000,2.00,2.00,0.00,假定
32,L2-FG-5,A-FG-L2,fg,89.000000,-49.000000,2.00,2.00,0.00,假定
33,TO-1,A-OPERATOR,operator,49.863263,37.875929,0.40,0.58,0.00,实测
34,TO-2,A-OPERATOR,operator,59.860887,38.220262,0.40,0.58,0.00,实测
35,TO-3,A-OPERATOR,operator,69.861301,38.158390,0.40,0.58,0.00,实测
36,TO-4,A-OPERATOR,operator,79.860475,38.282656,0.40,0.58,0.00,实测
37,TO-5,A-OPERATOR,operator,89.861305,38.157767,0.40,0.58,0.00,实测
38,TO-6,A-OPERATOR,operator,49.899652,-37.507876,0.40,0.58,0.00,实测
39,TO-7,A-OPERATOR,operator,59.900207,-37.451613,0.40,0.58,0.00,实测
40,TO-8,A-OPERATOR,operator,69.900041,-37.468411,0.40,0.58,0.00,实测
41,TO-9,A-OPERATOR,operator,79.901453,-37.327695,0.40,0.58,0.00,实测
42,TO-10,A-OPERATOR,operator,89.531251,-37.291938,0.40,0.58,0.00,实测
43,car 1,A-AGV,agv,78.810905,20.685500,2.40,1.20,0.00,假定
44,car 2,A-AGV,agv,89.323666,-27.647909,2.40,1.20,-86.48,假定
